OrderId,OrderItemId,region,QuantityOrdered,ItemPrice,PromotionDiscount,total_sales,net_sale
171-0001135-1657958,11168926687715,A,1,949.0,0.0,949.0,949.0
171-0001497-9165123,19760298917699,A,1,699.0,0.0,699.0,699.0
171-0002127-1363507,5949764099083,A,1,399.0,0.0,399.0,399.0
171-0002370-0601169,57571868836379,A,1,499.0,0.0,499.0,499.0
171-0004526-2028348,33851287891403,A,1,1699.0,0.0,1699.0,1699.0
171-0004781-3853173,43686103544491,A,1,399.0,0.0,399.0,399.0
171-0004947-4305927,15941372058555,A,1,1399.0,0.0,1399.0,1399.0
171-0005467-8036365,33952397753619,A,1,349.0,0.0,349.0,349.0
171-0006030-2254725,31456208605443,A,1,499.0,0.0,499.0,499.0
171-0006682-9937168,2915892310475,A,1,549.0,0.0,549.0,549.0
171-0008037-3788355,22456900251507,A,1,499.0,0.0,499.0,499.0
171-0008659-1412343,45841722968955,A,1,2899.0,0.0,2899.0,2899.0
171-0008662-0057942,66326653881907,A,1,599.0,0.0,599.0,599.0
171-0010322-1769977,47459215833307,A,1,399.0,0.0,399.0,399.0
171-0010803-5365973,21135179938611,A,1,299.0,0.0,299.0,299.0
171-0011025-3910737,18207721515083,A,1,1499.0,0.0,1499.0,1499.0
171-0015661-5525128,52322576555467,A,1,1199.0,0.0,1199.0,1199.0
171-0015668-5065935,8918074736283,A,1,699.0,0.0,699.0,699.0
171-0016430-9547521,3526651130627,A,1,499.0,0.0,499.0,499.0
171-0016468-7483547,41088062877059,A,1,369.0,0.0,369.0,369.0
171-0016656-1255573,21577356095867,A,1,499.0,0.0,499.0,499.0
171-0017311-5318712,64258514309019,A,1,699.0,0.0,699.0,699.0
171-0018170-2421930,31602125314219,A,1,799.0,0.0,799.0,799.0
171-0018345-8874731,59365948515931,A,1,599.0,0.0,599.0,599.0
171-0018448-9529112,24636780135115,A,1,299.0,0.0,299.0,299.0
171-0020330-4809129,47116361074315,A,1,849.0,0.0,849.0,849.0
171-0020871-3057976,31639315030563,A,1,1139.0,0.0,1139.0,1139.0
171-0021483-3525174,64370725651027,A,1,1599.0,0.0,1599.0,1599.0
171-0022424-6354758,25431618871923,A,1,949.0,0.0,949.0,949.0
171-0022691-4700335,60239001823435,A,1,499.0,0.0,499.0,499.0
171-0022807-7934716,5924271021683,A,1,999.0,0.0,999.0,999.0
171-0023361-7532373,50005747130291,A,1,1999.0,0.0,1999.0,1999.0
171-0023912-2838777,12927344177755,A,1,499.0,0.0,499.0,499.0
171-0024838-4383551,28167659511651,A,1,629.0,0.0,629.0,629.0
171-0025528-4025152,49285731071411,A,1,549.0,0.0,549.0,549.0
171-0025941-8385108,43956719994907,A,1,699.0,0.0,699.0,699.0
